Program Version:,EnergyPlus, Version 24.2.0-94a887817b, YMD=2025.04.10 17:22
Tabular Output Report in Format: ,Comma

Building:,HotelLarge
Environment:,RUNPERIOD 1 ** New York J F Kennedy IntL Ar NY USA TMY3 WMO#=744860

----------------------------------------------------------------------------------------------------
REPORT:,Annual Building Utility Performance Summary
FOR:,Entire Facility
Values gathered over      8760.00 hours

Site and Source Energy

,,Total Energy [GJ],Energy Per Total Building Area [MJ/m2],Energy Per Conditioned Building Area [MJ/m2]
,Total Site Energy,9593.76,845.62,845.62
,Net Site Energy,9418.40,830.16,830.16
,Total Source Energy,19808.29,1745.95,1745.95
,Net Source Energy,19252.93,1697.00,1697.00


Site to Source Energy Conversion Factors

,,Site=>Source Conversion Factor
,Electricity,3.167
,Natural Gas,1.084
,District Cooling,1.056
,District Heating Water,3.613
,District Heating Steam,1.200
,Gasoline,1.050
,Diesel,1.050
,Coal,1.050
,Fuel Oil No 1,1.050
,Fuel Oil No 2,1.050
,Propane,1.050
,Other Fuel 1,1.000
,Other Fuel 2,1.000


Building Area

,,Area [m2]
,Total Building Area,11345.29
,Net Conditioned Building Area,11345.29
,Unconditioned Building Area,0.00


End Uses

,,Electricity [GJ],Natural Gas [GJ],Gasoline [GJ],Diesel [GJ],Coal [GJ],Fuel Oil No 1 [GJ],Fuel Oil No 2 [GJ],Propane [GJ],Other Fuel 1 [GJ],Other Fuel 2 [GJ],District Cooling [GJ],District Heating Water [GJ],District Heating Steam [GJ],Water [m3]
,Heating,0.00,667.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,967.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,439.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,150.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,1648.46,1788.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,390.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,600.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,78.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,106.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,90.74,2620.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9857.19
,Refrigeration,44.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,,
,Total End Uses,4516.88,5076.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9857.19
Note: Natural gas appears to be the principal heating source based on energy usage.


End Uses By Subcategory

,,Subcategory,Electricity [GJ],Natural Gas [GJ],Gasoline [GJ],Diesel [GJ],Coal [GJ],Fuel Oil No 1 [GJ],Fuel Oil No 2 [GJ],Propane [GJ],Other Fuel 1 [GJ],Other Fuel 2 [GJ],District Cooling [GJ],District Heating Water [GJ],District Heating Steam [GJ],Water [m3]
,May,38.73,6.75,31.98,66.75,23.75,0.00,0.00,0.00
,June,36.60,4.48,32.12,76.58,8.68,0.00,0.00,0.00
,July,38.10,5.27,32.84,92.01,1.92,0.00,0.00,0.00
,August,50.58,17.18,33.39,119.82,4.98,0.00,0.00,0.00
,September,54.42,26.61,27.80,108.04,14.93,0.00,0.00,0.00
,October,78.87,49.45,29.42,138.18,35.25,0.00,0.00,0.00
,November,55.56,33.70,21.86,79.84,58.66,0.00,0.00,0.00
,December,55.54,39.84,15.70,75.79,77.06,0.00,0.00,0.00
,,,,,,,,,
,Annual Sum or Average,52.42,25.81,26.60,88.99,41.57,0.00,0.00,0.00
,Minimum of Months,36.60,4.48,15.70,66.07,1.92,0.00,0.00,0.00
,Maximum of Months,78.87,49.45,33.39,138.18,86.29,0.00,0.00,0.00


----------------------------------------------------------------------------------------------------
REPORT:,WindowReportMonthly
FOR:,ROOM_1_FLR_3_WALL_WEST_WINDOW
Custom Monthly Report

,,SURFACE WINDOW TRANSMITTED SOLAR RADIATION RATE [W],SURFACE WINDOW TRANSMITTED BEAM SOLAR RADIATION RATE [W],SURFACE WINDOW TRANSMITTED DIFFUSE SOLAR RADIATION RATE [W],SURFACE WINDOW HEAT GAIN RATE [W],SURFACE WINDOW HEAT LOSS RATE [W],SURFACE WINDOW INSIDE FACE GLAZING CONDENSATION STATUS {HOURS NON-ZERO} [HOURS],SURFACE SHADING DEVICE IS ON TIME FRACTION {HOURS NON-ZERO} [HOURS],SURFACE STORM WINDOW ON OFF STATUS {HOURS NON-ZERO} [HOURS]
,January,37.01,15.03,21.98,28.08,176.88,0.00,0.00,0.00
,February,54.53,23.80,30.73,47.07,179.15,0.00,0.00,0.00
,March,81.84,38.19,43.65,96.29,115.02,0.00,0.00,0.00
,April,88.84,38.25,50.59,124.58,78.12,0.00,0.00,0.00
,May,103.67,39.70,63.97,171.87,42.70,0.00,0.00,0.00
,June,113.15,45.90,67.25,219.28,15.73,0.00,0.00,0.00
,July,105.76,39.91,65.85,228.41,3.54,0.00,0.00,0.00
,August,117.35,54.59,62.75,248.71,9.24,0.00,0.00,0.00
,September,83.38,36.60,46.79,153.20,28.01,0.00,0.00,0.00
,October,82.53,40.27,42.26,129.07,68.12,0.00,0.00,0.00
,November,38.53,11.07,27.47,33.18,118.42,0.00,0.00,0.00
,December,33.91,14.44,19.48,26.56,160.34,0.00,0.00,0.00
,,,,,,,,,
,Annual Sum or Average,78.54,33.22,45.32,126.09,82.40,0.00,0.00,0.00
,Minimum of Months,33.91,11.07,19.48,26.56,3.54,0.00,0.00,0.00
,Maximum of Months,117.35,54.59,67.25,248.71,179.15,0.00,0.00,0.00


----------------------------------------------------------------------------------------------------
REPORT:,WindowReportMonthly
FOR:,ROOM_2_FLR_3_WALL_NORTH_WINDOW
Custom Monthly Report

,,SURFACE WINDOW TRANSMITTED SOLAR RADIATION RATE [W],SURFACE WINDOW TRANSMITTED BEAM SOLAR RADIATION RATE [W],SURFACE WINDOW TRANSMITTED DIFFUSE SOLAR RADIATION RATE [W],SURFACE WINDOW HEAT GAIN RATE [W],SURFACE WINDOW HEAT LOSS RATE [W],SURFACE WINDOW INSIDE FACE GLAZING CONDENSATION STATUS {HOURS NON-ZERO} [HOURS],SURFACE SHADING DEVICE IS ON TIME FRACTION {HOURS NON-ZERO} [HOURS],SURFACE STORM WINDOW ON OFF STATUS {HOURS NON-ZERO} [HOURS]
,January,9.65,0.00,9.65,0.19,99.43,0.00,0.00,0.00
,February,13.21,0.00,13.21,0.86,102.07,0.00,0.00,0.00
,March,18.32,0.00,18.32,6.97,65.22,0.00,0.00,0.00
,April,22.01,0.06,21.95,18.13,42.76,0.00,0.00,0.00
,May,29.07,0.83,28.25,39.10,22.53,0.00,0.00,0.00
,June,30.59,1.31,29.29,56.87,9.47,0.00,0.00,0.00
,July,29.76,0.91,28.85,68.40,2.48,0.00,0.00,0.00
,August,26.44,0.24,26.20,60.33,5.44,0.00,0.00,0.00
,September,19.98,0.01,19.98,32.36,16.24,0.00,0.00,0.00
,October,17.29,0.00,17.29,17.23,37.66,0.00,0.00,0.00
,November,12.12,0.00,12.12,3.82,65.02,0.00,0.00,0.00
,December,8.42,0.00,8.42,0.18,90.07,0.00,0.00,0.00
,,,,,,,,,
,Annual Sum or Average,19.78,0.28,19.50,25.54,46.22,0.00,0.00,0.00
,Minimum of Months,8.42,0.00,8.42,0.18,2.48,0.00,0.00,0.00
,Maximum of Months,30.59,1.31,29.29,68.40,102.07,0.00,0.00,0.00


----------------------------------------------------------------------------------------------------
REPORT:,WindowReportMonthly
FOR:,ROOM_2_FLR_3_WALL_WEST_WINDOW
Custom Monthly Report

,,SURFACE WINDOW TRANSMITTED SOLAR RADIATION RATE [W],SURFACE WINDOW TRANSMITTED BEAM SOLAR RADIATION RATE [W],SURFACE WINDOW TRANSMITTED DIFFUSE SOLAR RADIATION RATE [W],SURFACE WINDOW HEAT GAIN RATE [W],SURFACE WINDOW HEAT LOSS RATE [W],SURFACE WINDOW INSIDE FACE GLAZING CONDENSATION STATUS {HOURS NON-ZERO} [HOURS],SURFACE SHADING DEVICE IS ON TIME FRACTION {HOURS NON-ZERO} [HOURS],SURFACE STORM WINDOW ON OFF STATUS {HOURS NON-ZERO} [HOURS]
,January,37.01,15.03,21.98,29.21,174.75,0.00,0.00,0.00
,February,54.53,23.80,30.73,48.84,176.53,0.00,0.00,0.00
,March,81.84,38.19,43.65,98.65,113.61,0.00,0.00,0.00
,April,88.84,38.25,50.59,125.75,77.80,0.00,0.00,0.00
,May,103.67,39.70,63.97,170.95,43.74,0.00,0.00,0.00
,June,113.15,45.90,67.25,215.98,18.24,0.00,0.00,0.00
,July,105.76,39.91,65.85,226.98,4.66,0.00,0.00,0.00
,August,117.35,54.59,62.75,248.53,10.35,0.00,0.00,0.00
,September,83.38,36.60,46.79,152.81,29.82,0.00,0.00,0.00
,October,82.53,40.27,42.26,131.33,67.83,0.00,0.00,0.00
,November,38.53,11.07,27.47,35.06,116.23,0.00,0.00,0.00
,December,33.91,14.44,19.48,27.97,157.53,0.00,0.00,0.00
,,,,,,,,,
,Annual Sum or Average,78.54,33.22,45.32,126.57,82.06,0.00,0.00,0.00
,Minimum of Months,33.91,11.07,19.48,27.97,4.66,0.00,0.00,0.00
,Maximum of Months,117.35,54.59,67.25,248.53,176.53,0.00,0.00,0.00


----------------------------------------------------------------------------------------------------
REPORT:,WindowReportMonthly
FOR:,ROOM_3_MULT19_FLR_3_WALL_SOUTH_WINDOW
Custom Monthly Report

,,SURFACE WINDOW TRANSMITTED SOLAR RADIATION RATE [W],SURFACE WINDOW TRANSMITTED BEAM SOLAR RADIATION RATE [W],SURFACE WINDOW TRANSMITTED DIFFUSE SOLAR RADIATION RATE [W],SURFACE WINDOW HEAT GAIN RATE [W],SURFACE WINDOW HEAT LOSS RATE [W],SURFACE WINDOW INSIDE FACE GLAZING CONDENSATION STATUS {HOURS NON-ZERO} [HOURS],SURFACE SHADING DEVICE IS ON TIME FRACTION {HOURS NON-ZERO} [HOURS],SURFACE STORM WINDOW ON OFF STATUS {HOURS NON-ZERO} [HOURS]
,January,40.94,27.15,13.79,54.52,61.29,0.00,0.00,0.00
,February,53.69,35.88,17.81,70.14,71.48,0.00,0.00,0.00
,March,46.38,25.24,21.15,63.64,59.70,0.00,0.00,0.00
,April,36.11,13.82,22.29,50.41,48.59,0.00,0.00,0.00
,May,30.97,5.40,25.58,44.74,32.29,0.00,0.00,0.00
,June,29.27,3.58,25.69,51.40,17.41,0.00,0.00,0.00
,July,30.47,4.21,26.26,62.03,9.82,0.00,0.00,0.00
,August,40.45,13.74,26.71,84.87,12.89,0.00,0.00,0.00
,September,43.52,21.29,22.24,77.93,25.05,0.00,0.00,0.00
,October,63.08,39.55,23.54,102.46,43.63,0.00,0.00,0.00
,November,44.44,26.95,17.49,58.03,61.45,0.00,0.00,0.00
,December,44.42,31.87,12.56,57.92,68.80,0.00,0.00,0.00
,,,,,,,,,
,Annual Sum or Average,41.92,20.65,21.28,64.86,42.51,0.00,0.00,0.00
,Minimum of Months,29.27,3.58,12.56,44.74,9.82,0.00,0.00,0.00
,Maximum of Months,63.08,39.55,26.71,102.46,71.48,0.00,0.00,0.00


----------------------------------------------------------------------------------------------------
REPORT:,WindowReportMonthly
FOR:,ROOM_4_MULT19_FLR_3_WALL_NORTH_WINDOW
Custom Monthly Report

,,SURFACE WINDOW TRANSMITTED SOLAR RADIATION RATE [W],SURFACE WINDOW TRANSMITTED BEAM SOLAR RADIATION RATE [W],SURFACE WINDOW TRANSMITTED DIFFUSE SOLAR RADIATION RATE [W],SURFACE WINDOW HEAT GAIN RATE [W],SURFACE WINDOW HEAT LOSS RATE [W],SURFACE WINDOW INSIDE FACE GLAZING CONDENSATION STATUS {HOURS NON-ZERO} [HOURS],SURFACE SHADING DEVICE IS ON TIME FRACTION {HOURS NON-ZERO} [HOURS],SURFACE STORM WINDOW ON OFF STATUS {HOURS NON-ZERO} [HOURS]
,January,7.72,0.00,7.72,0.08,82.54,0.00,0.00,0.00
,February,10.57,0.00,10.57,0.56,84.21,0.00,0.00,0.00
,March,14.66,0.00,14.66,5.39,53.64,0.00,0.00,0.00
,April,17.61,0.04,17.56,14.82,34.89,0.00,0.00,0.00
,May,23.26,0.66,22.60,32.62,17.91,0.00,0.00,0.00
,June,24.48,1.05,23.43,47.85,6.99,0.00,0.00,0.00
,July,23.81,0.73,23.08,57.38,1.59,0.00,0.00,0.00
,August,21.15,0.19,20.96,51.11,3.76,0.00,0.00,0.00
,September,15.99,0.00,15.99,27.34,12.46,0.00,0.00,0.00
,October,13.83,0.00,13.83,14.67,29.77,0.00,0.00,0.00
,November,9.70,0.00,9.70,2.86,54.38,0.00,0.00,0.00
,December,6.73,0.00,6.73,0.09,74.87,0.00,0.00,0.00
,,,,,,,,,
,Annual Sum or Average,15.82,0.22,15.60,21.38,37.82,0.00,0.00,0.00
,Minimum of Months,6.73,0.00,6.73,0.08,1.59,0.00,0.00,0.00
,Maximum of Months,24.48,1.05,23.43,57.38,84.21,0.00,0.00,0.00


----------------------------------------------------------------------------------------------------
REPORT:,WindowReportMonthly
FOR:,ROOM_5_FLR_3_WALL_EAST_WINDOW
Custom Monthly Report

,,SURFACE WINDOW TRANSMITTED SOLAR RADIATION RATE [W],SURFACE WINDOW TRANSMITTED BEAM SOLAR RADIATION RATE [W],SURFACE WINDOW TRANSMITTED DIFFUSE SOLAR RADIATION RATE [W],SURFACE WINDOW HEAT GAIN RATE [W],SURFACE WINDOW HEAT LOSS RATE [W],SURFACE WINDOW INSIDE FACE GLAZING CONDENSATION STATUS {HOURS NON-ZERO} [HOURS],SURFACE SHADING DEVICE IS ON TIME FRACTION {HOURS NON-ZERO} [HOURS],SURFACE STORM WINDOW ON OFF STATUS {HOURS NON-ZERO} [HOURS]
,January,37.19,14.65,22.54,26.08,173.58,0.00,0.00,0.00
,February,58.13,26.99,31.14,48.49,172.48,0.00,0.00,0.00
,March,75.10,32.06,43.04,84.91,115.32,0.00,0.00,0.00
,April,90.10,39.82,50.27,124.79,75.72,0.00,0.00,0.00
,May,108.73,43.67,65.06,180.41,41.26,0.00,0.00,0.00
,June,100.59,36.53,64.06,195.48,15.07,0.00,0.00,0.00
,July,100.96,36.49,64.48,219.87,3.38,0.00,0.00,0.00
,August,114.20,51.82,62.38,242.55,8.69,0.00,0.00,0.00
,September,85.33,38.61,46.72,156.11,26.77,0.00,0.00,0.00
,October,76.67,34.63,42.04,117.38,66.24,0.00,0.00,0.00
,November,47.21,17.91,29.29,47.44,114.73,0.00,0.00,0.00
,December,36.73,17.09,19.64,29.83,156.59,0.00,0.00,0.00
,,,,,,,,,
,Annual Sum or Average,77.70,32.56,45.14,123.30,80.32,0.00,0.00,0.00
,Minimum of Months,36.73,14.65,19.64,26.08,3.38,0.00,0.00,0.00
,Maximum of Months,114.20,51.82,65.06,242.55,173.58,0.00,0.00,0.00


----------------------------------------------------------------------------------------------------
REPORT:,WindowReportMonthly
FOR:,ROOM_5_FLR_3_WALL_SOUTH_WINDOW
Custom Monthly Report

,,SURFACE WINDOW TRANSMITTED SOLAR RADIATION RATE [W],SURFACE WINDOW TRANSMITTED BEAM SOLAR RADIATION RATE [W],SURFACE WINDOW TRANSMITTED DIFFUSE SOLAR RADIATION RATE [W],SURFACE WINDOW HEAT GAIN RATE [W],SURFACE WINDOW HEAT LOSS RATE [W],SURFACE WINDOW INSIDE FACE GLAZING CONDENSATION STATUS {HOURS NON-ZERO} [HOURS],SURFACE SHADING DEVICE IS ON TIME FRACTION {HOURS NON-ZERO} [HOURS],SURFACE STORM WINDOW ON OFF STATUS {HOURS NON-ZERO} [HOURS]
,January,51.18,33.94,17.24,65.92,86.21,0.00,0.00,0.00
,February,67.12,44.86,22.26,88.87,85.91,0.00,0.00,0.00
,March,57.99,31.55,26.44,83.73,60.99,0.00,0.00,0.00
,April,45.15,17.28,27.87,70.20,42.59,0.00,0.00,0.00
,May,38.73,6.75,31.98,66.17,23.53,0.00,0.00,0.00
,June,36.60,4.48,32.12,76.59,8.49,0.00,0.00,0.00
,July,38.10,5.27,32.84,91.97,1.86,0.00,0.00,0.00
,August,50.58,17.18,33.39,119.67,4.86,0.00,0.00,0.00
,September,54.42,26.61,27.80,107.75,14.81,0.00,0.00,0.00
,October,78.87,49.45,29.42,137.84,34.98,0.00,0.00,0.00
,November,55.56,33.70,21.86,79.44,58.73,0.00,0.00,0.00
,December,55.54,39.84,15.70,75.58,77.00,0.00,0.00,0.00
,,,,,,,,,
,Annual Sum or Average,52.42,25.81,26.60,88.70,41.42,0.00,0.00,0.00
,Minimum of Months,36.60,4.48,15.70,65.92,1.86,0.00,0.00,0.00
,Maximum of Months,78.87,49.45,33.39,137.84,86.21,0.00,0.00,0.00


----------------------------------------------------------------------------------------------------
REPORT:,WindowReportMonthly
FOR:,ROOM_6_FLR_3_WALL_NORTH_WINDOW
Custom Monthly Report

,,SURFACE WINDOW TRANSMITTED SOLAR RADIATION RATE [W],SURFACE WINDOW TRANSMITTED BEAM SOLAR RADIATION RATE [W],SURFACE WINDOW TRANSMITTED DIFFUSE SOLAR RADIATION RATE [W],SURFACE WINDOW HEAT GAIN RATE [W],SURFACE WINDOW HEAT LOSS RATE [W],SURFACE WINDOW INSIDE FACE GLAZING CONDENSATION STATUS {HOURS NON-ZERO} [HOURS],SURFACE SHADING DEVICE IS ON TIME FRACTION {HOURS NON-ZERO} [HOURS],SURFACE STORM WINDOW ON OFF STATUS {HOURS NON-ZERO} [HOURS]
,January,9.65,0.00,9.65,0.17,99.46,0.00,0.00,0.00
,February,13.21,0.00,13.21,0.81,102.28,0.00,0.00,0.00
,March,18.32,0.00,18.32,6.69,64.93,0.00,0.00,0.00
,April,22.01,0.06,21.95,17.64,42.58,0.00,0.00,0.00
,May,29.07,0.83,28.25,38.54,22.27,0.00,0.00,0.00
,June,30.59,1.31,29.29,56.92,9.07,0.00,0.00,0.00
,July,29.76,0.91,28.85,68.15,2.37,0.00,0.00,0.00
,August,26.44,0.24,26.20,59.88,5.26,0.00,0.00,0.00
,September,19.98,0.01,19.98,31.93,15.97,0.00,0.00,0.00
,October,17.29,0.00,17.29,16.93,37.09,0.00,0.00,0.00
,November,12.12,0.00,12.12,3.63,65.47,0.00,0.00,0.00
,December,8.42,0.00,8.42,0.16,90.27,0.00,0.00,0.00
,,,,,,,,,
,Annual Sum or Average,19.78,0.28,19.50,25.29,46.10,0.00,0.00,0.00
,Minimum of Months,8.42,0.00,8.42,0.16,2.37,0.00,0.00,0.00
,Maximum of Months,30.59,1.31,29.29,68.15,102.28,0.00,0.00,0.00


----------------------------------------------------------------------------------------------------
REPORT:,WindowReportMonthly
FOR:,ROOM_6_FLR_3_WALL_EAST_WINDOW
Custom Monthly Report

,,SURFACE WINDOW TRANSMITTED SOLAR RADIATION RATE [W],SURFACE WINDOW TRANSMITTED BEAM SOLAR RADIATION RATE [W],SURFACE WINDOW TRANSMITTED DIFFUSE SOLAR RADIATION RATE [W],SURFACE WINDOW HEAT GAIN RATE [W],SURFACE WINDOW HEAT LOSS RATE [W],SURFACE WINDOW INSIDE FACE GLAZING CONDENSATION STATUS {HOURS NON-ZERO} [HOURS],SURFACE SHADING DEVICE IS ON TIME FRACTION {HOURS NON-ZERO} [HOURS],SURFACE STORM WINDOW ON OFF STATUS {HOURS NON-ZERO} [HOURS]
,January,37.19,14.65,22.54,26.70,170.94,0.00,0.00,0.00
,February,58.13,26.99,31.14,49.62,169.26,0.00,0.00,0.00
,March,75.10,32.06,43.04,86.89,113.51,0.00,0.00,0.00
,April,90.10,39.82,50.27,126.01,75.25,0.00,0.00,0.00
,May,108.73,43.67,65.06,179.70,42.26,0.00,0.00,0.00
,June,100.59,36.53,64.06,192.56,17.38,0.00,0.00,0.00
,July,100.96,36.49,64.48,218.10,4.46,0.00,0.00,0.00
,August,114.20,51.82,62.38,241.77,9.69,0.00,0.00,0.00
,September,85.33,38.61,46.72,155.55,28.35,0.00,0.00,0.00
,October,76.67,34.63,42.04,119.89,65.50,0.00,0.00,0.00
,November,47.21,17.91,29.29,49.06,112.46,0.00,0.00,0.00
,December,36.73,17.09,19.64,30.55,153.14,0.00,0.00,0.00
,,,,,,,,,
,Annual Sum or Average,77.70,32.56,45.14,123.55,79.69,0.00,0.00,0.00
,Minimum of Months,36.73,14.65,19.64,26.70,4.46,0.00,0.00,0.00
,Maximum of Months,114.20,51.82,65.06,241.77,170.94,0.00,0.00,0.00


----------------------------------------------------------------------------------------------------
REPORT:,WindowReportMonthly
FOR:,CORRIDOR_FLR_3_WALL_1_NORTH_WINDOW
Custom Monthly Report

,,SURFACE WINDOW TRANSMITTED SOLAR RADIATION RATE [W],SURFACE WINDOW TRANSMITTED BEAM SOLAR RADIATION RATE [W],SURFACE WINDOW TRANSMITTED DIFFUSE SOLAR RADIATION RATE [W],SURFACE WINDOW HEAT GAIN RATE [W],SURFACE WINDOW HEAT LOSS RATE [W],SURFACE WINDOW INSIDE FACE GLAZING CONDENSATION STATUS {HOURS NON-ZERO} [HOURS],SURFACE SHADING DEVICE IS ON TIME FRACTION {HOURS NON-ZERO} [HOURS],SURFACE STORM WINDOW ON OFF STATUS {HOURS NON-ZERO} [HOURS]
,January,12.22,0.00,12.22,0.08,133.78,0.00,0.00,0.00
,February,16.72,0.00,16.72,0.78,136.88,0.00,0.00,0.00
,March,23.20,0.00,23.20,8.32,86.19,0.00,0.00,0.00
,April,27.87,0.07,27.80,23.94,55.90,0.00,0.00,0.00
,May,36.82,1.05,35.77,52.80,28.95,0.00,0.00,0.00
,June,38.75,1.66,37.09,75.56,12.40,0.00,0.00,0.00
,July,37.69,1.16,36.54,87.43,4.01,0.00,0.00,0.00
,August,33.48,0.31,33.18,76.69,8.17,0.00,0.00,0.00
,September,25.31,0.01,25.30,42.53,21.87,0.00,0.00,0.00
,October,21.89,0.00,21.89,22.88,49.37,0.00,0.00,0.00
,November,15.35,0.00,15.35,4.55,87.39,0.00,0.00,0.00
,December,10.66,0.00,10.66,0.12,121.29,0.00,0.00,0.00
,,,,,,,,,
,Annual Sum or Average,25.05,0.36,24.69,33.20,61.76,0.00,0.00,0.00
,Minimum of Months,10.66,0.00,10.66,0.08,4.01,0.00,0.00,0.00
,Maximum of Months,38.75,1.66,37.09,87.43,136.88,0.00,0.00,0.00


----------------------------------------------------------------------------------------------------
REPORT:,WindowReportMonthly
FOR:,CORRIDOR_FLR_3_WALL_2_NORTH_WINDOW
Custom Monthly Report

,,SURFACE WINDOW TRANSMITTED SOLAR RADIATION RATE [W],SURFACE WINDOW TRANSMITTED BEAM SOLAR RADIATION RATE [W],SURFACE WINDOW TRANSMITTED DIFFUSE SOLAR RADIATION RATE [W],SURFACE WINDOW HEAT GAIN RATE [W],SURFACE WINDOW HEAT LOSS RATE [W],SURFACE WINDOW INSIDE FACE GLAZING CONDENSATION STATUS {HOURS NON-ZERO} [HOURS],SURFACE SHADING DEVICE IS ON TIME FRACTION {HOURS NON-ZERO} [HOURS],SURFACE STORM WINDOW ON OFF STATUS {HOURS NON-ZERO} [HOURS]
,January,4.51,0.00,4.51,0.03,49.32,0.00,0.00,0.00
,February,6.17,0.00,6.17,0.29,50.46,0.00,0.00,0.00
,March,8.55,0.00,8.55,3.07,31.77,0.00,0.00,0.00
,April,10.27,0.03,10.25,8.83,20.61,0.00,0.00,0.00
,May,13.57,0.39,13.19,19.46,10.67,0.00,0.00,0.00
,June,14.28,0.61,13.67,27.85,4.57,0.00,0.00,0.00
,July,13.89,0.43,13.47,32.23,1.48,0.00,0.00,0.00
,August,12.34,0.11,12.23,28.27,3.01,0.00,0.00,0.00
,September,9.33,0.00,9.33,15.68,8.06,0.00,0.00,0.00
,October,8.07,0.00,8.07,8.43,18.20,0.00,0.00,0.00
,November,5.66,0.00,5.66,1.68,32.22,0.00,0.00,0.00
,December,3.93,0.00,3.93,0.04,44.71,0.00,0.00,0.00
,,,,,,,,,
,Annual Sum or Average,9.23,0.13,9.10,12.24,22.77,0.00,0.00,0.00
,Minimum of Months,3.93,0.00,3.93,0.03,1.48,0.00,0.00,0.00
,Maximum of Months,14.28,0.61,13.67,32.23,50.46,0.00,0.00,0.00


----------------------------------------------------------------------------------------------------
REPORT:,WindowReportMonthly
FOR:,CORRIDOR_FLR_3_WALL_1_SOUTH_WINDOW
Custom Monthly Report

,,SURFACE WINDOW TRANSMITTED SOLAR RADIATION RATE [W],SURFACE WINDOW TRANSMITTED BEAM SOLAR RADIATION RATE [W],SURFACE WINDOW TRANSMITTED DIFFUSE SOLAR RADIATION RATE [W],SURFACE WINDOW HEAT GAIN RATE [W],SURFACE WINDOW HEAT LOSS RATE [W],SURFACE WINDOW INSIDE FACE GLAZING CONDENSATION STATUS {HOURS NON-ZERO} [HOURS],SURFACE SHADING DEVICE IS ON TIME FRACTION {HOURS NON-ZERO} [HOURS],SURFACE STORM WINDOW ON OFF STATUS {HOURS NON-ZERO} [HOURS]
,January,23.88,15.84,8.05,30.43,42.36,0.00,0.00,0.00
,February,31.32,20.93,10.39,41.28,41.92,0.00,0.00,0.00
,March,27.06,14.72,12.34,39.48,29.53,0.00,0.00,0.00
,April,21.07,8.06,13.01,33.62,20.50,0.00,0.00,0.00
,May,18.07,3.15,14.92,32.12,11.45,0.00,0.00,0.00
,June,17.08,2.09,14.99,36.30,4.86,0.00,0.00,0.00
,July,17.78,2.46,15.32,42.90,1.52,0.00,0.00,0.00
,August,23.60,8.02,15.58,55.94,3.10,0.00,0.00,0.00
,September,25.39,12.42,12.97,50.86,7.94,0.00,0.00,0.00
,October,36.80,23.07,13.73,65.31,17.13,0.00,0.00,0.00
,November,25.92,15.72,10.20,37.24,28.55,0.00,0.00,0.00
,December,25.92,18.59,7.33,35.09,37.78,0.00,0.00,0.00
,,,,,,,,,
,Annual Sum or Average,24.46,12.04,12.41,41.74,20.43,0.00,0.00,0.00
,Minimum of Months,17.08,2.09,7.33,30.43,1.52,0.00,0.00,0.00
,Maximum of Months,36.80,23.07,15.58,65.31,42.36,0.00,0.00,0.00


----------------------------------------------------------------------------------------------------
REPORT:,WindowReportMonthly
FOR:,CORRIDOR_FLR_3_WALL_2_SOUTH_WINDOW
Custom Monthly Report

